unit_link,lith_rank,lith1,lith2,lith3,lith4,lith5,low_lith,lith_form,lith_com
SDQlts;0,Major,Unconsolidated,Fine-detrital,Clay,,,Clay,"Glacial, till ",
SDQlts;0,Major,Unconsolidated,Fine-detrital,Silt,,,Silt,"Glacial, till ",
SDQlts;0,Major,Unconsolidated,Coarse-detrital,Sand,,,Sand,"Glacial, till ",
SDQlts;0,Major,Unconsolidated,Coarse-detrital,Gravel,,,Gravel,"Glacial, till ",
SDQlts;0,Major,Unconsolidated,Coarse-detrital,Boulders,,,Boulders,"Glacial, till ",
SDQltm;0,Major,Unconsolidated,Fine-detrital,Clay,,,Clay,"Glacial, till ",
SDQltm;0,Major,Unconsolidated,Fine-detrital,Silt,,,Silt,"Glacial, till ",
SDQltm;0,Major,Unconsolidated,Coarse-detrital,Sand,,,Sand,"Glacial, till ",
SDQltm;0,Major,Unconsolidated,Coarse-detrital,Gravel,,,Gravel,"Glacial, till ",
SDQltm;0,Major,Unconsolidated,Coarse-detrital,Boulders,,,Boulders,"Glacial, till ",
SDQlte;0,Major,Unconsolidated,Fine-detrital,Clay,,,Clay,"Glacial, till ",
SDQlte;0,Major,Unconsolidated,Fine-detrital,Silt,,,Silt,"Glacial, till ",
SDQlte;0,Major,Unconsolidated,Coarse-detrital,Sand,,,Sand,"Glacial, till ",
SDQlte;0,Major,Unconsolidated,Coarse-detrital,Gravel,,,Gravel,"Glacial, till ",
SDQlte;0,Major,Unconsolidated,Coarse-detrital,Boulders,,,Boulders,"Glacial, till ",
SDQlt;0,Major,Unconsolidated,Fine-detrital,Clay,,,Clay,"Glacial, till ",
SDQlt;0,Major,Unconsolidated,Fine-detrital,Silt,,,Silt,"Glacial, till ",
SDQlt;0,Major,Unconsolidated,Coarse-detrital,Sand,,,Sand,"Glacial, till ",
SDQlt;0,Major,Unconsolidated,Coarse-detrital,Gravel,,,Gravel,"Glacial, till ",
SDQlt;0,Major,Unconsolidated,Coarse-detrital,Boulders,,,Boulders,"Glacial, till ",
SDQp;0,Major,Unconsolidated,Fine-detrital,Clay,,,Clay,Lacustrine ,
SDQp;0,Minor,Unconsolidated,Coarse-detrital,Sand,,,Sand,Lacustrine ,
SDQit;0,Major,Unconsolidated,Fine-detrital,Clay,,,Clay,"Glacial, till ",
SDQit;0,Major,Unconsolidated,Fine-detrital,Silt,,,Silt,"Glacial, till ",
SDQit;0,Major,Unconsolidated,Coarse-detrital,Sand,,,Sand,"Glacial, till ",
SDQit;0,Major,Unconsolidated,Coarse-detrital,Gravel,,,Gravel,"Glacial, till ",
SDQit;0,Major,Unconsolidated,Coarse-detrital,Boulders,,,Boulders,"Glacial, till ",
SDQo;0,Major,Unconsolidated,Coarse-detrital,Sand,,,Sand,"Glacial, outwash ",
SDQo;0,Major,Unconsolidated,Coarse-detrital,Gravel,,,Gravel,"Glacial, outwash ",
SDQo;0,Minor,Unconsolidated,Fine-detrital,Clay,,,Clay,"Glacial, outwash ",
SDQpit;0,"Indeterminate, major",Unconsolidated,Fine-detrital,Clay,,,Clay,"Glacial, till ",
SDQpit;0,Major,Unconsolidated,Fine-detrital,Silt,,,Silt,"Glacial, till ",
SDQpit;0,Major,Unconsolidated,Coarse-detrital,Sand,,,Sand,"Glacial, till ",
SDQpit;0,Major,Unconsolidated,Coarse-detrital,Gravel,,,Gravel,"Glacial, till ",
SDQpit;0,Major,Unconsolidated,Coarse-detrital,Boulders,,,Boulders,"Glacial, till ",
SDQj;0,Major,Unconsolidated,Coarse-detrital,Sand,,,Sand,Fluvial ,
SDQj;0,Major,Unconsolidated,Coarse-detrital,Gravel,,,Gravel,Fluvial ,
SDQj;0,Minor,Unconsolidated,Fine-detrital,Silt,,,Silt,Eolian ,
SDQj;0,Minor,Unconsolidated,Fine-detrital,Clay,,,Clay,Eolian ,
SDTo;0,Major,Sedimentary,Clastic,Sandstone,,,Sandstone,Bed ,
SDTo;0,Major,Sedimentary,Clastic,Siltstone,,,Siltstone,Bed ,
SDTo;0,Major,Sedimentary,Clastic,Mudstone,Claystone,,Claystone,Bed ,
SDTo;0,Major,Sedimentary,Carbonate,Limestone,,,Limestone,Bed ,
SDTg;0,Major,Sedimentary,Clastic,Conglomerate,,,Conglomerate,Bed ,
SDTb;0,Major,Sedimentary,Clastic,Siltstone,,,Siltstone,Bed ,
SDTb;0,Major,Sedimentary,Clastic,Mudstone,Claystone,,Claystone,Bed ,
SDXq;0,Major,Metamorphic,Metasedimentary,Metaclastic,Quartzite,,Quartzite,, 
SDXq;0,Major,Metamorphic,Schist,,,,Schist,, 
SDXq;0,Minor,Sedimentary,Chemical,Chert,,,Chert,, 
SDXsc1;0,Major,Metamorphic,Metasedimentary,Metaclastic,Phyllite,,Phyllite,, 
SDXsc1;0,Major,Metamorphic,Schist,,,,Schist,, 
SDXd;0,Major,Metamorphic,Metasedimentary,Metacarbonate,Marble,,Marble,, 
SDXd;0,Major,Metamorphic,Metasedimentary,Metaclastic,Phyllite,,Phyllite,, 
SDXif;0,Major,Sedimentary,Chemical,Banded-iron-formation,,,Banded-iron-formation,Bed, 
SDXif;0,Major,Sedimentary,Chemical,Chert,,,Chert,Bed, 
SDXif;0,Minor,Metamorphic,Schist,,,,Schist,, 
SDXc;0,Major,Metamorphic,Schist,,,,Schist,, 
SDXc;0,Minor,Metamorphic,Metasedimentary,Metacarbonate,Marble,,Marble,, 
SDXcq;0,Major,Metamorphic,Schist,,,,Schist,, 
SDXcq;0,Major,Sedimentary,Chemical,Banded-iron-formation,,,Banded-iron-formation,Bed,Taconite=iron-formation 
SDXcq;0,Major,Metamorphic,Metasedimentary,Metaclastic,Phyllite,,Phyllite,, 
SDXWp;0,Major,Igneous,Plutonic,Granitic,Granite,,Granite,Dike or sill, 
SDXWb;0,Major,Metamorphic,Amphibolite,,,,Amphibolite, ,
SDXWb;0,Major,Metamorphic,Schist,,,,Schist, ,
SDXWgw;0,Major,Metamorphic,Schist,,,,Schist, ,
SDXWgw;0,Major,Metamorphic,Metasedimentary,Metaclastic,Quartzite,,Quartzite, ,
SDWgr;0,Major,Igneous,Plutonic,Granitic,Granite,,Granite, ,
SDWm;0,Major,Igneous,Plutonic,Granitic,Granite,,Granite, ,
SDWos;0,Major,Metamorphic,Metasedimentary,Metaclastic,Phyllite,,Phyllite, ,
SDWos;0,Major,Metamorphic,Schist,,,,Schist, ,
SDXb2;0,Major,Igneous,Volcanic,Mafic-volcanic,Basalt,,Basalt,Flow ,
SDXb2;0,Major,Metamorphic,Metaigneous,Greenstone,,,Greenstone, ,
SDXb2;0,"Indeterminate, major",Metamorphic,Schist,,,,Schist, ,
