longitude,latitude,distance_km,post-Ogallala,Ogallala Group,pre-Ogallala,Hell Creek Formation,Fox Hills Formation,Pierre Shale,Niobrara Formation,Carlile Shale,Greenhorn Limestone,Belle Fourche Shale,Mowry Shale,Skull Creek Shale,Inyan Kara Group,Morrison Formation,Sundance Formation,Spearfish Formation,Minnekahta Formation,Minnelusa Formation,Madison Group,Three Forks Shale,Stony Mountain Formation,Red River Formation,Deadwood Formation,Precambrian basement,Tertiary intrusive
-101.75941883767536,43.15,137.51581833146517,,993.0194702148438,984.8523559570312,849.396240234375,,827.4542846679688,390.0235900878906,332.69830322265625,232.7867431640625,210.7866668701172,95.15518188476562,29.1497859954834,-1.2245168685913086,,,-50.966819763183594,-84.89594268798828,-133.4430694580078,-285.5909118652344,,,,-351.61126708984375,-411.28607177734375,
-101.75561122244488,43.15,137.82553864302253,,996.0381469726562,984.69580078125,848.87255859375,,826.9163208007812,389.3637390136719,332.0560302734375,231.97344970703125,209.97337341308594,94.36255645751953,28.227325439453125,-1.8961286544799805,,,-51.563167572021484,-84.9515609741211,-133.4403076171875,-285.3035583496094,,,,-351.7991638183594,-411.2707824707031,
-101.75180360721443,43.15,138.13525895457988,,995.7689819335938,984.5278930664062,847.8253173828125,,825.8475952148438,388.0675048828125,330.7884521484375,230.36474609375,208.36468505859375,92.79290771484375,26.397899627685547,-2.562790870666504,,,-52.15443801879883,-85.05696868896484,-133.4291534423828,-284.72430419921875,,,,-352.1799621582031,-411.2464599609375,
-101.74799599198397,43.15,138.44497926613724,,995.8475341796875,984.343017578125,847.3018188476562,,825.3163452148438,387.43255615234375,330.1630859375,229.56942749023438,207.56936645507812,92.01660919189453,25.49174690246582,-3.224437713623047,,,-53.319889068603516,-85.1065902709961,-133.42076110839844,-284.43243408203125,,,,-352.37261962890625,-411.2371826171875,
-101.7441883767535,43.15,138.7546995776946,,995.1746826171875,983.9188232421875,846.7784423828125,,824.7871704101562,386.8052062988281,329.5435791015625,228.78045654296875,206.7803955078125,91.24526977539062,24.590543746948242,-4.52998161315918,,,-53.89426803588867,-85.1544189453125,-133.41041564941406,-284.1390380859375,,,,-352.56658935546875,-411.2295837402344,
-101.74038076152304,43.15,139.06441988925195,,,983.024169921875,846.255615234375,,824.2598876953125,386.18548583984375,328.93170166015625,227.99929809570312,205.99925231933594,90.47893524169922,23.69434928894043,-5.174555778503418,,,-54.4635009765625,-85.20046997070312,-133.3977508544922,-283.8438415527344,,,,-352.7617492675781,-411.2236022949219,
-101.73657314629259,43.15,139.37414020080928,,,980.2693481445312,845.2101440429688,,823.7350463867188,385.57354736328125,328.3255920410156,227.22427368164062,205.22422790527344,89.7179183959961,22.803409576416016,-5.813950538635254,,,-55.027366638183594,-85.24468231201172,-133.38323974609375,-283.5472412109375,,,,-353.1560974121094,-411.21697998046875,
-101.73276553106213,43.15,139.68386051236664,,984.2200927734375,983.1521606445312,844.6876220703125,,822.6913452148438,384.3775634765625,327.1308898925781,225.69302368164062,203.6929931640625,88.21382904052734,21.039594650268555,-6.448000431060791,,,-56.13716506958008,-85.326904296875,-133.34869384765625,-282.9498291015625,,,,-353.35504150390625,-411.216064453125,
-101.72895791583166,43.15,139.993580823924,,989.6091918945312,982.8564453125,844.165283203125,,822.17236328125,383.7918395996094,326.5429382324219,224.93751525878906,202.9375,87.46979522705078,20.16571807861328,-7.697449684143066,,,-56.68354415893555,-85.36528778076172,-133.3284912109375,-282.64892578125,,,,-353.5550231933594,-411.21661376953125,
-101.7251503006012,43.15,140.30330113548135,,992.6513061523438,982.2138671875,843.6436767578125,,821.6551513671875,383.214111328125,325.9624938964844,224.1897430419922,202.18972778320312,86.73109436035156,19.297163009643555,-8.313791275024414,,,-57.224586486816406,-85.40190887451172,-133.30606079101562,-282.34637451171875,,,,-353.7560729980469,-411.2186584472656,
